date|symbol|symbol_name|delta|gamma|vega|theta|rho
20181022|M1901-C-2800.DCE|豆粕期权M1901-C-2800|1.00000000000001|1.41774440955924E-15|0|0|0
20181022|M1901-C-2850.DCE|豆粕期权M1901-C-2850|0.999245256374262|7.55492131490504E-05|0.0251512526574516|-0.00384235297612735|-0.0179000380740035
20181022|M1901-C-2900.DCE|豆粕期权M1901-C-2900|0.992784747913601|0.000139444319675387|0.203904850536674|-0.0357181418820573|-0.105307034743873
20181022|M1901-C-2950.DCE|豆粕期权M1901-C-2950|0.982415026324254|0.000228425586723383|0.451034280786189|-0.0862935904031612|-0.162897925633843
20181022|M1901-C-3000.DCE|豆粕期权M1901-C-3000|0.965839369833363|0.000362982832205685|0.910989373210214|-0.16070458472395|-0.196217797792997
20181022|M1901-C-3050.DCE|豆粕期权M1901-C-3050|0.940688267611405|0.000546641181150097|1.41508717291572|-0.260768008352902|-0.20968637693386
20181022|M1901-C-3100.DCE|豆粕期权M1901-C-3100|0.904641687091631|0.000774846364744017|2.03022473442616|-0.38405473534142|-0.207951612367197
20181022|M1901-C-3150.DCE|豆粕期权M1901-C-3150|0.856009382517251|0.00103235345218186|2.72215484903882|-0.522522688911448|-0.195228747202236
20181022|M1901-C-3200.DCE|豆粕期权M1901-C-3200|0.794267995535711|0.0012939542054082|3.42636697519083|-0.662902595769619|-0.175280797321875
20181022|M1901-C-3250.DCE|豆粕期权M1901-C-3250|0.720413297669892|0.00152859525349809|4.05579859250338|-0.788863221538535|-0.151240517539009
20181022|M1901-C-3300.DCE|豆粕期权M1901-C-3300|0.636997556263773|0.00170582488318193|4.51830996425429|-0.884397977479955|-0.125789155973166
20181022|M1901-C-3350.DCE|豆粕期权M1901-C-3350|0.547796520426393|0.00180107609215637|4.70780808035443|-0.936594850981566|-0.10124716114035
20181022|M1901-C-3400.DCE|豆粕期权M1901-C-3400|0.457481076145317|0.00180363804268197|4.74264295780813|-0.939830865961626|-0.0789536562564308
20181022|M1901-C-3450.DCE|豆粕期权M1901-C-3450|0.370563387680645|0.00171797067551918|4.49902065916064|-0.896458233343011|-0.0595888784715726
20181022|M1901-C-3500.DCE|豆粕期权M1901-C-3500|0.290781573709898|0.00155978189664998|4.01907994329065|-0.814739826101475|-0.0435058871417482
20181022|M1901-C-3550.DCE|豆粕期权M1901-C-3550|0.221121070241713|0.00135129946736076|3.61329794310805|-0.706360299947885|-0.0308559716373225
20181022|M1901-C-3600.DCE|豆粕期权M1901-C-3600|0.162889960739921|0.00112007617065899|2.9197678156585|-0.585815966471669|-0.0212574469742322
20181022|M1901-C-3650.DCE|豆粕期权M1901-C-3650|0.116005160441726|0.00088941946274162|2.45515325728363|-0.465377184137598|-0.0141314410644355
20181022|M1901-C-3700.DCE|豆粕期权M1901-C-3700|0.0803239920167785|0.000678552431952713|1.79441143070314|-0.355157689130498|-0.00921020616928558
20181022|M1901-C-3750.DCE|豆粕期权M1901-C-3750|0.0537116648706316|0.000497088790538018|1.23485319767003|-0.260246306683664|-0.00578790890060077
20181022|M1901-C-3800.DCE|豆粕期权M1901-C-3800|0.0349738790806057|0.000351383333745349|0.932658282541077|-0.184000765523877|-0.00355908135762917
20181022|M1901-P-2500.DCE|豆粕期权M1901-P-2500|-1.8233196875118E-06|4.00132770237406E-08|9.19085101853999E-05|-2.09733208406045E-05|-1.00671233217611E-07
20181022|M1901-P-2550.DCE|豆粕期权M1901-P-2550|-7.72625608094836E-06|1.59134875720719E-07|0.000403564365302649|-8.34086227853125E-05|-4.52009036048997E-07
20181022|M1901-P-2600.DCE|豆粕期权M1901-P-2600|-2.87805330563089E-05|5.55542347385975E-07|0.0015871083226906|-0.000291167272988624|-1.7839396216756E-06
20181022|M1901-P-2650.DCE|豆粕期权M1901-P-2650|-9.59764241349601E-05|1.73197559065032E-06|0.00413419534042291|-0.00090770233996655|-6.32160307868085E-06
20181022|M1901-P-2700.DCE|豆粕期权M1901-P-2700|-0.000290955182017153|4.88797192161181E-06|0.0134215949471883|-0.00256154342574939|-2.03981557166111E-05
20181022|M1901-P-2750.DCE|豆粕期权M1901-P-2750|-0.00079435026045054|1.2396164287356E-05|0.0302920930719888|-0.00649570948064032|-5.9373024184628E-05
20181022|M1901-P-2800.DCE|豆粕期权M1901-P-2800|-0.0019849893913467|2.86508402941412E-05|0.0812928762519149|-0.0150118977446527|-0.000158350672047058
20181022|M1901-P-2850.DCE|豆粕期权M1901-P-2850|-0.00456234395230056|6.06226648611632E-05|0.159115088052719|-0.0317601800997047|-0.000390121123572396
20181022|M1901-P-2900.DCE|豆粕期权M1901-P-2900|-0.00962716386247209|0.000117339720172157|0.293064912397889|-0.0614655782953724|-0.000882833537274585
20181022|M1901-P-2950.DCE|豆粕期权M1901-P-2950|-0.018813463840056|0.000209327331456821|0.508078719577032|-0.109632059591582|-0.00185091290783035
20181022|M1901-P-3000.DCE|豆粕期权M1901-P-3000|-0.0343857394193676|0.000346682302328606|0.959838380050204|-0.181529506921401|-0.00364577865008542
20181022|M1901-P-3050.DCE|豆粕期权M1901-P-3050|-0.0587012791665065|0.000532962062957058|1.44470644038552|-0.278991078205245|-0.00672167375892485
20181022|M1901-P-3100.DCE|豆粕期权M1901-P-3100|-0.0940656149518728|0.000763624905355444|2.04715010727341|-0.399593446784492|-0.0116418529341189
20181022|M1901-P-3150.DCE|豆粕期权M1901-P-3150|-0.142155362514814|0.00102343786821732|2.7310912469467|-0.535300111320966|-0.0190409526865665
20181022|M1901-P-3200.DCE|豆粕期权M1901-P-3200|-0.203481848690769|0.00128721044304469|3.43056387783847|-0.672850480272063|-0.0295220929160678
20181022|M1901-P-3250.DCE|豆粕期权M1901-P-3250|-0.27703911996322|0.00152391318084429|4.05753219887828|-0.795925318345286|-0.043510648779943
20181022|M1901-P-3300.DCE|豆粕期权M1901-P-3300|-0.360266842235435|0.00170312346844541|4.51894036142875|-0.888532807040159|-0.0612125994479129
20181022|M1901-P-3350.DCE|豆粕期权M1901-P-3350|-0.449378968769509|0.00180030983087725|4.70780307605878|-0.937779116956404|-0.0826094974115676
20181022|M1901-P-3400.DCE|豆粕期权M1901-P-3400|-0.539701837666832|0.00180479015609688|4.74265236600502|-0.938055914497721|-0.107005269057936
20181022|M1901-P-3450.DCE|豆粕期权M1901-P-3450|-0.62672325855295|0.00172106115135389|4.49886131889343|-0.891734319087952|-0.133179604006273
20181022|M1901-P-3500.DCE|豆粕期权M1901-P-3500|-0.706705127871077|0.00156485995489849|4.01820666985486|-0.807092148782087|-0.159645431295985
20181022|M1901-P-3550.DCE|豆粕期权M1901-P-3550|-0.776656352064236|0.00135844233773263|3.60851259191008|-0.695828477121799|-0.185009634066091
20181022|M1901-P-3600.DCE|豆粕期权M1901-P-3600|-0.835273120567323|0.00112937631747308|2.91242302151318|-0.572447173838335|-0.2068741651442
20181022|M1901-P-3650.DCE|豆粕期权M1901-P-3650|-0.882646553920328|0.000900983628237192|2.43128603710829|-0.449225674921526|-0.222612309300985
20181022|M1901-P-3700.DCE|豆粕期权M1901-P-3700|-0.918907970487688|0.000692501784837306|1.77016126548324|-0.336285221912338|-0.231358369148893
20181022|M1901-P-3750.DCE|豆粕期权M1901-P-3750|-0.946210022078438|0.000513540929658359|1.20340477832315|-0.238712042962882|-0.228947153800618
20181022|M1901-P-3800.DCE|豆粕期权M1901-P-3800|-0.96573771754111|0.000370461935175602|0.878197649228696|-0.159867105954672|-0.215223072302706
20181022|M1903-C-2650.DCE|豆粕期权M1903-C-2650|0.993166506523909|0.000146540460050687|0.2840765265546|-0.0174025154504104|-0.194397633322296
20181022|M1903-C-2700.DCE|豆粕期权M1903-C-2700|0.982782695942815|0.000197062822766368|0.639391800405065|-0.0441329699381438|-0.360190129867988
20181022|M1903-C-2750.DCE|豆粕期权M1903-C-2750|0.969035789552917|0.000265910987952064|1.18613006111445|-0.0790805218485957|-0.477123188488804
20181022|M1903-C-2800.DCE|豆粕期权M1903-C-2800|0.950827454214294|0.000353812275729812|1.70384253453904|-0.122554915223974|-0.550981230276193
20181022|M1903-C-2850.DCE|豆粕期权M1903-C-2850|0.927442543591767|0.000459188846786463|2.28452010122737|-0.173824830581913|-0.588992857956328
